Unnamed: 0,R^2,num_observations,set,model,context,response,feature
0,0.09786406741870436,150,TEST,MLR,C,ACTIVITY,naive
0,0.2476879128194304,350,TRAIN,MLR,C,ACTIVITY,naive
0,0.14765147934588696,150,TEST,RF,C,ACTIVITY,naive
0,0.5455236932627721,350,TRAIN,RF,C,ACTIVITY,naive
0,0.06974045809394913,150,TEST,SVR,C,ACTIVITY,naive
0,0.4962126870449,350,TRAIN,SVR,C,ACTIVITY,naive
0,0.08819519842637091,150,TEST,MLP,C,ACTIVITY,naive
0,0.43581416171558784,350,TRAIN,MLP,C,ACTIVITY,naive
0,0.0047976518825548755,150,TEST,MLR,C,GROWTH,naive
0,0.3024894589873798,350,TRAIN,MLR,C,GROWTH,naive
0,0.09060788085267868,150,TEST,RF,C,GROWTH,naive
0,0.4667199309177061,350,TRAIN,RF,C,GROWTH,naive
0,-0.06938520682084093,150,TEST,SVR,C,GROWTH,naive
0,0.4646866043133186,350,TRAIN,SVR,C,GROWTH,naive
0,-0.0168175948845537,150,TEST,MLP,C,GROWTH,naive
0,0.4591503681807792,350,TRAIN,MLP,C,GROWTH,naive
0,-6.618360492005593e-05,150,TEST,MLR,C,SYMMETRY,naive
0,0.03160949111733813,350,TRAIN,MLR,C,SYMMETRY,naive
0,-0.03834864827484097,150,TEST,RF,C,SYMMETRY,naive
0,0.11244772038528994,350,TRAIN,RF,C,SYMMETRY,naive
0,-0.1673357024999349,150,TEST,SVR,C,SYMMETRY,naive
0,0.3223269828507759,350,TRAIN,SVR,C,SYMMETRY,naive
0,-0.013165454480973615,150,TEST,MLP,C,SYMMETRY,naive
0,0.058966829483886214,350,TRAIN,MLP,C,SYMMETRY,naive
0,0.01170035895996191,150,TEST,MLR,CH,ACTIVITY,spatial
0,0.11880034174479093,350,TRAIN,MLR,CH,ACTIVITY,spatial
0,0.04192139409556584,150,TEST,RF,CH,ACTIVITY,spatial
0,0.16780869545160382,350,TRAIN,RF,CH,ACTIVITY,spatial
0,0.03994851680352463,150,TEST,SVR,CH,ACTIVITY,spatial
0,0.1986724226713955,350,TRAIN,SVR,CH,ACTIVITY,spatial
0,0.03228403479715936,150,TEST,MLP,CH,ACTIVITY,spatial
0,0.21598785418877364,350,TRAIN,MLP,CH,ACTIVITY,spatial
0,0.254213105097594,150,TEST,MLR,CH,GROWTH,spatial
0,0.5158470009833971,350,TRAIN,MLR,CH,GROWTH,spatial
0,0.1906808832007396,150,TEST,RF,CH,GROWTH,spatial
0,0.3836794675939813,350,TRAIN,RF,CH,GROWTH,spatial
0,0.2590141827608019,150,TEST,SVR,CH,GROWTH,spatial
0,0.5404430361713326,350,TRAIN,SVR,CH,GROWTH,spatial
0,0.21537462892183035,150,TEST,MLP,CH,GROWTH,spatial
0,0.566156648943229,350,TRAIN,MLP,CH,GROWTH,spatial
0,0.17393349661598326,150,TEST,MLR,CH,SYMMETRY,spatial
0,0.2990907218978519,350,TRAIN,MLR,CH,SYMMETRY,spatial
0,0.15189244752966824,150,TEST,RF,CH,SYMMETRY,spatial
0,0.35356682474853474,350,TRAIN,RF,CH,SYMMETRY,spatial
0,0.06623009305930361,150,TEST,SVR,CH,SYMMETRY,spatial
0,0.31062965593629543,350,TRAIN,SVR,CH,SYMMETRY,spatial
0,0.1523012981055678,150,TEST,MLP,CH,SYMMETRY,spatial
0,0.3674090143797731,350,TRAIN,MLP,CH,SYMMETRY,spatial
0,0.04365931410335167,150,TEST,MLR,CH,ACTIVITY,topo
0,0.188841305469464,350,TRAIN,MLR,CH,ACTIVITY,topo
0,0.05247946070158482,150,TEST,RF,CH,ACTIVITY,topo
0,0.17696521544080512,350,TRAIN,RF,CH,ACTIVITY,topo
0,0.0167792325852002,150,TEST,SVR,CH,ACTIVITY,topo
0,0.15906482325340265,350,TRAIN,SVR,CH,ACTIVITY,topo
0,0.023791957741303268,150,TEST,MLP,CH,ACTIVITY,topo
0,0.1885438631354356,350,TRAIN,MLP,CH,ACTIVITY,topo
0,0.21379141723764128,150,TEST,MLR,CH,GROWTH,topo
0,0.3403253346583116,350,TRAIN,MLR,CH,GROWTH,topo
0,0.1589720369187857,150,TEST,RF,CH,GROWTH,topo
0,0.2763835839043455,350,TRAIN,RF,CH,GROWTH,topo
0,0.20184654815610856,150,TEST,SVR,CH,GROWTH,topo
0,0.3770427392380714,350,TRAIN,SVR,CH,GROWTH,topo
0,0.14663742054054218,150,TEST,MLP,CH,GROWTH,topo
0,0.4430788867288085,350,TRAIN,MLP,CH,GROWTH,topo
0,0.1243646308491022,150,TEST,MLR,CH,SYMMETRY,topo
0,0.23815202719466866,350,TRAIN,MLR,CH,SYMMETRY,topo
0,0.11105844047926927,150,TEST,RF,CH,SYMMETRY,topo
0,0.3152147966357461,350,TRAIN,RF,CH,SYMMETRY,topo
0,0.033896468084468445,150,TEST,SVR,CH,SYMMETRY,topo
0,0.2724809920729331,350,TRAIN,SVR,CH,SYMMETRY,topo
0,0.10093429940407872,150,TEST,MLP,CH,SYMMETRY,topo
0,0.2752918296162369,350,TRAIN,MLP,CH,SYMMETRY,topo
0,0.1591665677671712,150,TEST,MLR,C,ACTIVITY,topo
0,0.3725445835231628,350,TRAIN,MLR,C,ACTIVITY,topo
0,0.10201938488118344,150,TEST,RF,C,ACTIVITY,topo
0,0.5280227417808548,350,TRAIN,RF,C,ACTIVITY,topo
0,0.12987399688452828,150,TEST,SVR,C,ACTIVITY,topo
0,0.529087242557039,350,TRAIN,SVR,C,ACTIVITY,topo
0,0.14823123846651987,150,TEST,MLP,C,ACTIVITY,topo
0,0.5570665561152106,350,TRAIN,MLP,C,ACTIVITY,topo
0,0.02378523526234311,150,TEST,MLR,C,GROWTH,topo
0,0.4639872480565059,350,TRAIN,MLR,C,GROWTH,topo
0,0.0611344425402045,150,TEST,RF,C,GROWTH,topo
0,0.5380830013388533,350,TRAIN,RF,C,GROWTH,topo
0,0.015573766696980962,150,TEST,SVR,C,GROWTH,topo
0,0.5643619190626372,350,TRAIN,SVR,C,GROWTH,topo
0,-0.008990353616383341,150,TEST,MLP,C,GROWTH,topo
0,0.5614234193239875,350,TRAIN,MLP,C,GROWTH,topo
0,-0.06147494519126773,150,TEST,MLR,C,SYMMETRY,topo
0,0.11053783912729087,350,TRAIN,MLR,C,SYMMETRY,topo
0,-0.03561663477829846,150,TEST,RF,C,SYMMETRY,topo
0,0.12528725947433286,350,TRAIN,RF,C,SYMMETRY,topo
0,-0.07053524615802552,150,TEST,SVR,C,SYMMETRY,topo
0,0.32386122734849604,350,TRAIN,SVR,C,SYMMETRY,topo
0,-0.061400867710893474,150,TEST,MLP,C,SYMMETRY,topo
0,0.10367586608845357,350,TRAIN,MLP,C,SYMMETRY,topo
0,0.12796039549313454,150,TEST,MLR,C,ACTIVITY,spatial
0,0.4171010793196379,350,TRAIN,MLR,C,ACTIVITY,spatial
0,0.11402783939461192,150,TEST,RF,C,ACTIVITY,spatial
0,0.528239837904112,350,TRAIN,RF,C,ACTIVITY,spatial
0,0.10579439639124766,150,TEST,SVR,C,ACTIVITY,spatial
0,0.5826469586904603,350,TRAIN,SVR,C,ACTIVITY,spatial
0,0.06481225937882784,150,TEST,MLP,C,ACTIVITY,spatial
0,0.5884520193721656,350,TRAIN,MLP,C,ACTIVITY,spatial
0,0.01116519166604668,150,TEST,MLR,C,GROWTH,spatial
0,0.510591207812246,350,TRAIN,MLR,C,GROWTH,spatial
0,0.056198237724367495,150,TEST,RF,C,GROWTH,spatial
0,0.5437474869046949,350,TRAIN,RF,C,GROWTH,spatial
0,-0.12742775558249053,150,TEST,SVR,C,GROWTH,spatial
0,0.5212393300554816,350,TRAIN,SVR,C,GROWTH,spatial
0,0.003541942630794215,150,TEST,MLP,C,GROWTH,spatial
0,0.5462499540745653,350,TRAIN,MLP,C,GROWTH,spatial
0,-0.0003856397785164667,150,TEST,MLR,C,SYMMETRY,spatial
0,0.0,350,TRAIN,MLR,C,SYMMETRY,spatial
0,-0.04376639643381442,150,TEST,RF,C,SYMMETRY,spatial
0,0.18888262886421006,350,TRAIN,RF,C,SYMMETRY,spatial
0,-0.10093783054347337,150,TEST,SVR,C,SYMMETRY,spatial
0,0.3483123476028196,350,TRAIN,SVR,C,SYMMETRY,spatial
0,-0.009498753916558522,150,TEST,MLP,C,SYMMETRY,spatial
0,0.011336715893208836,350,TRAIN,MLP,C,SYMMETRY,spatial
0,-0.013718506058949087,150,TEST,MLR,CH,ACTIVITY,naive
0,0.1554281913416874,350,TRAIN,MLR,CH,ACTIVITY,naive
0,0.047780966812795415,150,TEST,RF,CH,ACTIVITY,naive
0,0.11956671394507168,350,TRAIN,RF,CH,ACTIVITY,naive
0,0.0231580172058844,150,TEST,SVR,CH,ACTIVITY,naive
0,0.07892172468477499,350,TRAIN,SVR,CH,ACTIVITY,naive
0,-0.002672301304149416,150,TEST,MLP,CH,ACTIVITY,naive
0,0.14891287824991872,350,TRAIN,MLP,CH,ACTIVITY,naive
0,0.09494743905585444,150,TEST,MLR,CH,GROWTH,naive
0,0.22401516767822605,350,TRAIN,MLR,CH,GROWTH,naive
0,0.18993255285870086,150,TEST,RF,CH,GROWTH,naive
0,0.4499187038574573,350,TRAIN,RF,CH,GROWTH,naive
0,0.18051126065230672,150,TEST,SVR,CH,GROWTH,naive
0,0.4252463022398727,350,TRAIN,SVR,CH,GROWTH,naive
0,0.1705595947639872,150,TEST,MLP,CH,GROWTH,naive
0,0.3856614706300033,350,TRAIN,MLP,CH,GROWTH,naive
0,0.06905811146944763,150,TEST,MLR,CH,SYMMETRY,naive
0,0.14592200856924475,350,TRAIN,MLR,CH,SYMMETRY,naive
0,0.11711137121749247,150,TEST,RF,CH,SYMMETRY,naive
0,0.3096772171220501,350,TRAIN,RF,CH,SYMMETRY,naive
0,0.052231534086137454,150,TEST,SVR,CH,SYMMETRY,naive
0,0.1423212662477441,350,TRAIN,SVR,CH,SYMMETRY,naive
0,0.13494768539128546,150,TEST,MLP,CH,SYMMETRY,naive
0,0.2821775716685906,350,TRAIN,MLP,CH,SYMMETRY,naive
